item,group
awdamhsaigh_rinc,aw
awdance,aw
awdathaigh,aw
awcolour,aw
awde#an_dein,aw
awdo,aw
awdoirt_sil,aw
awspill,aw
awdreap,aw
awclimb,aw
awdu#isigh,aw
awwake,aw
awoscail,aw
awopen,aw
awpe#intea#i#l,aw
awpaint,aw
awpioc,aw
awpick,aw
awpo#g,aw
awkiss,aw
awre#ab_srac_stro#ic,aw
awtear_rip,aw
awrith,aw
awrun,aw
awroinn,aw
awshare,aw
awsceamh_tafann,aw
awbark,aw
awbrostaigh_de#indeifir,aw
awhurry,aw
awbru#igh,aw
awpush,aw
awbuaigh,aw
awwin,aw
awbuail,aw
awhit,aw
awbualadhbos,aw
awclap,aw
awcabhraigh,aw
awhelp,aw
awlabhair_caintigh,aw
awtalk,aw
awcaith,aw
awthrow,aw
awcan,aw
awsing,aw
awcaoin_goil,aw
awcry,aw
awcas_iompaigh,aw
awturn,aw
awceannaigh,aw
awbuy,aw
awceap_meas,aw
awthink,aw
awcicea#il,aw
awkick,aw
awcigil,aw
awtickle,aw
awci#or,aw
awcomb,aw
awclois,aw
awhear,aw
awclu#daigh,aw
awcover,aw
awcnag,aw
awknock,aw
awco#cara#il,aw
awcook,aw
awcodail,aw
awsleep,aw
awcoimea#d_coinnigh,aw
awkeep,aw
awcri#ochnaigh,aw
awfinish,aw
awcroith,aw
awwave,aw
awdu#n,aw
awclose,aw
awe#ist,aw
awlisten,aw
awfa#g,aw
awleave,aw
awfaigh,aw
awfind_get,aw
awfan,aw
awwait,aw
awfe#ach_breathnaigh,aw
awlook,aw
awfeic_ci#onn,aw
awsee,aw
awga#ir,aw
awlaugh,aw
awgearr,aw
awcut,aw
awglan,aw
awclean,aw
agimir_agspraoi,a
awplay,aw
awinis,aw
awtell,aw
awith,aw
aweat,aw
awle#igh,aw
awread,aw
awle#im,aw
awjump,aw
awligh,aw
awlick,aw
awli#nigh_tarraing,aw
awdraw,aw
awluasc,aw
awswing,aw
awluighsi#os,aw
awliedown,aw
awmagadh,aw
awjoke,aw
awmiongha#ire,aw
awsmile,aw
awnigh,aw
awwash,aw
awoibrigh,aw
awwork,aw
awo#l,aw
awdrink,aw
awsciorr_sleamhnaigh,aw
awslide,aw
awscri#obh,aw
awwrite,aw
awscuab,aw
awbrush,aw
awseas,aw
awstand,aw
awse#id,aw
awblow,aw
awsiu#l,aw
awwalk,aw
awsna#mh,aw
awswim,aw
awsocraigh,aw
awfix,aw
awstad_stop,aw
awstop,aw
awsteall_steanc,aw
awsplash,aw
awsuigh@si#os@,aw
awsit@down@,aw
awtabhair,aw
awgive_bring,aw
awtaispea#in,aw
awshow,aw
awtar_gabh,aw
awcome,aw
awtarraing,aw
awpull,aw
awte#igh_imigh,aw
awgo,aw
awtioma#in,aw
awdrive,aw
awtit,aw
awfall,aw
awto#g,aw
awtake_build,aw
awtosaigh,aw
awstart,aw
awtriomaigh,aw
awdry,aw
awtroid_brui#on,aw
awfight,aw
awtuig,aw
awunderstand,aw
dward,dw
dwhigh,dw
dwba#isti#,dw
dwrainy,dw
dwba#n,dw
dwwhite,dw
dwbeag,dw
dwsmall,dw
dwbi#deach,dw
dwtiny,dw
dwbocht,dw
dwpoor,dw
dwbog,dw
dwsoft,dw
dwbriste,dw
dwbroken,dw
dwbro#nach,dw
dwsad,dw
dwbui#,dw
dwyellow,dw
dwce#ad,dw
dwfirst,dw
dwceomhar,dw
dwfoggy,dw
dwcinea#lta,dw
dwkind,dw
dwciu#in,dw
dwquiet,dw
dwcorcra,dw
dwpurple,dw
dwcrua_deacair,dw
dwhard,dw
dwcu#ramach,dw
dwcareful,dw
dwda#na,dw
dwbold,dw
dwdearg,dw
dwred,dw
dwdeireanach,dw
dwlast,dw
dwgortaithe,dw
dwhurt,dw
dwdeas,dw
dwnice,dw
dwde#anta,dw
dwfinished,dw
dwdonn,dw
dwbrown,dw
dwdorcha,dw
dwdark,dw
dwdubh,dw
dwblack,dw
dw@ina@codladh,dw
dwasleep,dw
dw@ina@du#iseacht,dw
dwawake,dw
dwe#adrom,dw
dwlight,dw
dweaglach_scanraithe,dw
dwscared,dw
dwfada,dw
dwlong,dw
dwfeargach_crosta_olc,dw
dwangry_cross,dw
dw@is@fearr,dw
dwprefer,dw
dwfliuch,dw
dwwet,dw
dwfolamh,dw
dwempty,dw
dwfuar,dw
dwcold,dw
dwgaofar,dw
dwwindy,dw
dwgearr,dw
dwshort,dw
dwglan,dw
dwclean,dw
dwglas_uaine,dw
dwgreen,dw
dwgleoite,dw
dwpretty,dw
dwglic_cliste,dw
dwclever,dw
dwimithe,dw
dw@all@gone,dw
dwmall,dw
dwslow,dw
dwmi#shlachtmhar,dw
dwmessy,dw
dwmo#r,dw
dwbig,dw
dwnua,dw
dwnew,dw
dwocrach,dw
dwhungry,dw
dwora#iste,dw
dworange,dw
dwramhar,dw
dwfat,dw
dwsalach,dw
dwdirty,dw
dwsean,dw
dwold,dw
dwsona_sa#sta,dw
dwhappy,dw
dwtapa_sciobtha,dw
dwfast,dw
dwtartmhar,dw
dwthirsty,dw
dwte,dw
dwhot,dw
dwtinn_breoite,dw
dwsick,dw
dwtirim,dw
dwdry,dw
dwtrom,dw
dwheavy,dw
dwtuirseach_traochta,dw
dwtired,dw
dwuafa#sach_gohainnis,dw
dwyucky,dw
dwullamh_re#idh,dw
dwready,dw
watam,wat
wattime,wat
watama#rach,wat
wattomorrow,wat
watanocht,wat
wattonight,wat
watanois,wat
watnow,wat
watarball_niosde#anai#,wat
watlater,wat
watinne#,wat
watyesterday,wat
watinniu,wat
wattoday,wat
watla#,wat
watday,wat
watmaidin,wat
watmorning,wat
watoi#che,wat
watnight,wat
wattare#is,wat
watafter,wat
wattra#thno#na,wat
watafternoon,wat
pra,pr
prhis,pr
prher,pr
prtheir,pr
pra#r,pr
prour,pr
prceann,pr
prone,pr
prdo,pr
pryoursg,pr
pre#_eisean,pr
prit@m@,pr
prfe#in,pr
pr@my@self,pr
pri#_ise,pr
prshe,pr
prher_A,pr
prit,pr
priad_iadsan,pr
prthey,pr
prthem,pr
prme#,pr
prme,pr
prmiseie,pr
prmo,pr
prmy,pr
prmuid_sinn,pr
prwe_us,pr
prse#,pr
prhesub,pr
prseo,pr
prthis,pr
prsi#,pr
prshesub,pr
prsiad,pr
prthey_A,pr
prsibh_sibhse,pr
pryoupl,pr
prsin_san,pr
prthat,pr
prtu#,pr
pryousg,pr
prtusa,pr
ppagam,pp
ppagat,pp
ppaige,pp
ppaici,pp
ppagainn,pp
ppdom,pp
ppduit,pp
ppdu#inn,pp
ppliom,pp
ppleat,pp
ppleis,pp
pplei#,pp
pplinn,pp
pporm,pp
pport,pp
ppair,pp
ppuirthi,pp
pporainn,pp
ppdi#om,pp
ppdi#ot,pp
ppuaim,pp
ppuait,pp
ppuaidh,pp
ppuainn,pp
qwca#il_ca#ha#it,qw
qwwhere,qw
qwcad_ce#ard,qw
qwwhat,qw
qwcathain,qw
qwwhen,qw
qwce#,qw
qwwho,qw
qwce#acu_ciacu,qw
qwwhich,qw
qwce#nfa#th_cadinathaobh_ce#ncu#issrl,qw
qwwhy,qw
qwconas_ce#nchaoi,qw
qwhow,qw
pag,p
pat,p
pa#it,p
pplace,p
pann,p
pthere,p
pansin,p
pthere@inthatplace@,p
panuas,p
pdownward,p
pani#os,p
pupward,p
panseo,p
phere,p
par,p
pon,p
parbarr_anuasar_inairdear,p
pontopof,p
pamach,p
pout,p
pas,p
pof,p
pbarr,p
ptop,p
pbun,p
pbottom,p
pcu#l,p
pbehind,p
pde,p
poff,p
pdo,p
pfor,p
pfaoi,p
punder,p
pchun_godti#,p
pto,p
pibhfad,p
pfar,p
pi_sa,p
pin,p
pinaice,p
pbeside,p
pisteach,p
pinside,p
pla#r,p
pmiddle,p
plasmuigh,p
poutside,p
ple,p
pwith,p
po#,p
pfrom,p
psi#os_thios,p
pdown,p
psuas_thuas,p
pup,p
ptaobh,p
pside,p
pthar_thall,p
pover,p
ptimpeall,p
pround,p
ptransna,p
pacross,p
qaa_an,qa
qaaala#n_anchuid,qa
qaaalot,qa
qaan,qa
qaathe,qa
qaaana,qa
qaavery,qa
qaaaonceann_rud,qa
qaaany@thing@,qa
qaaaon_amhain,qa
qaaone,qa
qaaari#s,qa
qaaagain,qa
qaabreis_tuilleadh,qa
qaamore,qa
qaace#anna,qa
qaasame,qa
qaaeile,qa
qaaanother,qa
qaagach,qa
qaaeach,qa
qaagachaon_uile,qa
qaaevery,qa
qaagan,qa
qaanone,qa
qaamo#ra#n,qa
qaamany,qa
qaana,qa
qaapi#osa,qa
qaapiece,qa
qaaro#,qa
qaatoo,qa
qaaroinnt_beaga#ini#n,qa
qaaasome,qa
qaasaghas_cinea#l_so#rt,qa
qaakindof,qa
hv@ag@iarraidh,hv
hvtry@to@,hv
hv@is@fe#idir_a#balta,hv
hvcan,hv
hvbeidh,hv
hvwillbe,hv
hvbhfuil,hv
hvbhi#,hv
hvwas,hv
hvbi#,hv
hvbe,hv
hvbi#onn,hv
hvam,hv
hvcaithfidh,hv
hvhafta_haveto,hv
hvis,hv
hv@is@copula,hv
hvlig@dom@,hv
hvlemme_letme,hv
hvna#,hv
hvdont,hv
hvni#@hea@,hv
hvnot,hv
hvni#l,hv
hvisn_t,hv
hvni#or,hv
hvdidn_t,hv
hvraibh,hv
hvta#,hv
hvteastaigh,hv
hvwanna_wantto,hv
cach,c
cbut,c
cagus_is_leis,c
cand,c
cansin,c
cthen,c
cchomh,c
caso,c
cda#_ma#,c
cif,c
cmar,c
cbecause,c
cnuair,c
cwhen,c
TotIrish,
TotEnglish,
TotVocab,
TotConcepVoc,
ComplexityNew,
